Ward Building,Sheridan/Loyola (northbound),Chicago/Kedzie,Chicago/Lee,Chicago/Davis,Weber Arch,Jacobs Center,Tech Institute,Patten Gym,Central L Station (westbound),Central/Jackson (westbound),Ryan Field
0.2778009259,0.295162037,0.3021064815,0.3034953704,0.3055787037,0.307662037,0.3083564815,0.3090509259,0.3097453704,0.3118287037,0.3125231481,0.313912037
0.3055787037,0.3250231481,0.3319675926,0.3333564815,0.3354398148,0.3375231481,0.3382175926,0.338912037,0.3396064815,0.3416898148,0.3423842593,0.3437731481
0.3333564815,0.351412037,0.3583564815,0.3597453704,0.3618287037,0.363912037,0.3646064815,0.3653009259,0.3659953704,0.3680787037,0.3687731481,0.370162037
0.3437731481,0.3618287037,0.3687731481,0.370162037,0.3722453704,0.3743287037,0.3750231481,0.3757175926,0.376412037,0.3784953704,0.3791898148,0.3805787037
0.3541898148,0.3722453704,0.3791898148,0.3805787037,0.382662037,0.3847453704,0.3854398148,0.3861342593,0.3868287037,0.388912037,0.3896064815,0.3909953704
0.3750231481,0.3930787037,0.4000231481,0.401412037,0.4034953704,0.4055787037,0.4062731481,0.4069675926,0.407662037,0.4097453704,0.4104398148,0.4118287037
0.3958564815,0.413912037,0.4208564815,0.4222453704,0.4243287037,0.426412037,0.4271064815,0.4278009259,0.4284953704,0.4305787037,0.4312731481,0.432662037
0.4236342593,0.438912037,0.4458564815,0.4472453704,0.4493287037,0.451412037,0.4521064815,0.4528009259,0.4534953704,0.4555787037,0.4562731481,0.457662037
0.4583564815,0.4743287037,0.4812731481,0.482662037,0.4847453704,0.4868287037,0.4875231481,0.4882175926,0.488912037,0.4909953704,0.4916898148,0.4930787037
0.482662037,0.4986342593,0.5055787037,0.5069675926,0.5090509259,0.5111342593,0.5118287037,0.5125231481,0.5132175926,0.5153009259,0.5159953704,0.5173842593
0.5000231481,0.5173842593,0.5243287037,0.5257175926,0.5278009259,0.5298842593,0.5305787037,0.5312731481,0.5319675926,0.5340509259,0.5347453704,0.5361342593
0.5208564815,0.5382175926,0.545162037,0.5465509259,0.5486342593,0.5507175926,0.551412037,0.5521064815,0.5528009259,0.5548842593,0.5555787037,0.5569675926
0.5416898148,0.5569675926,0.563912037,0.5653009259,0.5673842593,0.5694675926,0.570162037,0.5708564815,0.5715509259,0.5736342593,0.5743287037,0.5757175926
0.5694675926,0.5847453704,0.5916898148,0.5930787037,0.595162037,0.5972453704,0.5979398148,0.5986342593,0.5993287037,0.601412037,0.6021064815,0.6034953704
0.6007175926,0.6146064815,0.6215509259,0.6229398148,0.6250231481,0.6271064815,0.6278009259,0.6284953704,0.6291898148,0.6312731481,0.6319675926,0.6333564815
0.6146064815,0.6284953704,0.6354398148,0.6368287037,0.638912037,0.6409953704,0.6416898148,0.6423842593,0.6430787037,0.645162037,0.6458564815,0.6472453704
0.6458564815,0.6604398148,0.6673842593,0.6687731481,0.6708564815,0.6729398148,0.6736342593,0.6743287037,0.6750231481,0.6771064815,0.6778009259,0.6791898148
0.670162037,0.688912037,0.6958564815,0.6972453704,0.6993287037,0.701412037,0.7021064815,0.7028009259,0.7034953704,0.7055787037,0.7062731481,0.707662037
0.6840509259,0.7028009259,0.7097453704,0.7111342593,0.7132175926,0.7153009259,0.7159953704,0.7166898148,0.7173842593,0.7194675926,0.720162037,0.7215509259
0.701412037,0.720162037,0.7271064815,0.7284953704,0.7305787037,0.732662037,0.7333564815,0.7340509259,0.7347453704,0.7368287037,0.7375231481,0.738912037
0.7118287037,0.7305787037,0.7375231481,0.738912037,0.7409953704,0.7430787037,0.7437731481,0.7444675926,0.745162037,0.7472453704,0.7479398148,0.7493287037
0.7222453704,0.7409953704,0.7479398148,0.7493287037,0.751412037,0.7534953704,0.7541898148,0.7548842593,0.7555787037,0.757662037,0.7583564815,0.7597453704
0.7361342593,0.7548842593,0.7618287037,0.7632175926,0.7653009259,0.7673842593,0.7680787037,0.7687731481,0.7694675926,0.7715509259,0.7722453704,0.7736342593
0.7604398148,0.7757175926,0.782662037,0.7840509259,0.7861342593,0.7882175926,0.788912037,0.7896064815,0.7903009259,0.7923842593,0.7930787037,0.7944675926
0.7708564815,0.7861342593,0.7930787037,0.7944675926,0.7965509259,0.7986342593,0.7993287037,0.8000231481,0.8007175926,0.8028009259,0.8034953704,0.8048842593
0.8055787037,0.8208564815,0.8278009259,0.8291898148,0.8312731481,0.8333564815,0.8340509259,0.8347453704,0.8354398148,0.8375231481,0.8382175926,0.8396064815
0.8437731481,0.8590509259,0.8659953704,0.8673842593,0.8694675926,0.8715509259,0.8722453704,0.8729398148,0.8736342593,0.8757175926,0.876412037,0.8778009259
0.8993287037,0.9132175926,0.920162037,0.9215509259,0.9236342593,0.9257175926,0.926412037,0.9271064815,0.9278009259,0.9298842593,0.9305787037,0.9319675926
0.9340509259,0.9465509259,0.9534953704,0.9548842593,0.9569675926,0.9590509259,0.9597453704,0.9604398148,0.9611342593,0.9632175926,0.963912037,0.9653009259
