Ryan Field,Central/Jackson (eastbound),Central L Station (eastbound),Noyes L Station,Ridge/Civic Center,Ridge/Reserve Apartments,Emerson/Maple,Sherman/Emerson,Sherman/Foster,Sherman/Gaffield,Sheridan/Noyes,Sheridan/Foster,Chicago/Sheridan,Chicago/Grove,Chicago/Greenleaf,Chicago/Main,Sheridan/Loyola (southbound),Ward Building
0.2743287037,0.2750231481,0.2757175926,0.2771064815,0.2784953704,0.2791898148,0.2805787037,0.2819675926,0.282662037,0.2833564815,0.2847453704,0.2861342593,0.2875231481,0.2896064815,0.2916898148,0.2923842593,0.2993287037,0.3271064815
0.2847453704,0.2854398148,0.2861342593,0.2875231481,0.288912037,0.2896064815,0.2909953704,0.2923842593,0.2930787037,0.2937731481,0.295162037,0.2965509259,0.2979398148,0.3000231481,0.3021064815,0.3028009259,0.3097453704,0.3375231481
0.295162037,0.2958564815,0.2965509259,0.2979398148,0.2993287037,0.3000231481,0.301412037,0.3028009259,0.3034953704,0.3041898148,0.3055787037,0.3069675926,0.3083564815,0.3104398148,0.3125231481,0.3132175926,0.320162037,0.3479398148
0.3159953704,0.3166898148,0.3173842593,0.3187731481,0.320162037,0.3208564815,0.3222453704,0.3236342593,0.3243287037,0.3250231481,0.326412037,0.3278009259,0.3291898148,0.3312731481,0.3333564815,0.3340509259,0.3409953704,0.3687731481
0.3472453704,0.3479398148,0.3486342593,0.3500231481,0.351412037,0.3521064815,0.3534953704,0.3548842593,0.3555787037,0.3562731481,0.357662037,0.3590509259,0.3604398148,0.3625231481,0.3646064815,0.3653009259,0.3722453704,0.3930787037
0.3750231481,0.3757175926,0.376412037,0.3778009259,0.3791898148,0.3798842593,0.3812731481,0.382662037,0.3833564815,0.3840509259,0.3854398148,0.3868287037,0.3882175926,0.3903009259,0.3923842593,0.3930787037,0.4000231481,0.4208564815
0.388912037,0.3896064815,0.3903009259,0.3916898148,0.3930787037,0.3937731481,0.395162037,0.3965509259,0.3972453704,0.3979398148,0.3993287037,0.4007175926,0.4021064815,0.4041898148,0.4062731481,0.4069675926,0.413912037,0.4312731481
0.4166898148,0.4173842593,0.4180787037,0.4194675926,0.4208564815,0.4215509259,0.4229398148,0.4243287037,0.4250231481,0.4257175926,0.4271064815,0.4284953704,0.4298842593,0.4319675926,0.4340509259,0.4347453704,0.4416898148,0.4534953704
0.4375231481,0.4382175926,0.438912037,0.4403009259,0.4416898148,0.4423842593,0.4437731481,0.445162037,0.4458564815,0.4465509259,0.4479398148,0.4493287037,0.4507175926,0.4528009259,0.4548842593,0.4555787037,0.4625231481,0.4743287037
0.4618287037,0.4625231481,0.4632175926,0.4646064815,0.4659953704,0.4666898148,0.4680787037,0.4694675926,0.470162037,0.4708564815,0.4722453704,0.4736342593,0.4750231481,0.4771064815,0.4791898148,0.4798842593,0.4868287037,0.4986342593
