Route ID,Route Name,Bus ID,Bus Name,Stop ID,Stop Name,Seconds after midnight,Time
48,Intercampus (I),29974,29741,294,Emerson/Maple,64653,2016-08-08 17:57:33.504574
48,Intercampus (I),29729,29729,282,Central L Station (westbound),64674,2016-08-08 17:57:54.206635
48,Intercampus (I),29727,29727,313,Chicago/Kedzie,64694,2016-08-08 17:58:14.943511
48,Intercampus (I),29729,29729,252,Central/Jackson (westbound),64745,2016-08-08 17:59:05.908323
48,Intercampus (I),29974,29741,183,Sherman/Emerson,64766,2016-08-08 17:59:26.634276
48,Intercampus (I),29974,29741,309,Sherman/Foster,64797,2016-08-08 17:59:57.423640
48,Intercampus (I),29727,29727,314,Chicago/Lee,64808,2016-08-08 18:00:08.140207
48,Intercampus (I),29729,29729,253,Ryan Field,64828,2016-08-08 18:00:28.885902
48,Intercampus (I),29974,29741,316,Sherman/Gaffield,64869,2016-08-08 18:01:09.721232
48,Intercampus (I),29735,29735,241,Sheridan/Loyola (southbound),65130,2016-08-08 18:05:30.423682
48,Intercampus (I),29727,29727,152,Weber Arch,65141,2016-08-08 18:05:41.060522
48,Intercampus (I),29727,29727,153,Jacobs Center,65192,2016-08-08 18:06:32.078766
48,Intercampus (I),29974,29741,159,Chicago/Sheridan,65212,2016-08-08 18:06:52.794680
48,Intercampus (I),29727,29727,154,Tech Institute,65243,2016-08-08 18:07:23.584551
48,Intercampus (I),29727,29727,155,Patten Gym,65304,2016-08-08 18:08:24.535094
48,Intercampus (I),29974,29741,308,Chicago/Grove,65385,2016-08-08 18:09:45.627201
48,Intercampus (I),29729,29729,226,Central/Jackson (eastbound),65406,2016-08-08 18:10:06.426021
48,Intercampus (I),29727,29727,282,Central L Station (westbound),65457,2016-08-08 18:10:57.296236
48,Intercampus (I),29729,29729,300,Central L Station (eastbound),65467,2016-08-08 18:11:07.921107
48,Intercampus (I),29727,29727,252,Central/Jackson (westbound),65518,2016-08-08 18:11:58.877161
48,Intercampus (I),29729,29729,307,Noyes L Station,65589,2016-08-08 18:13:09.952752
48,Intercampus (I),29974,29741,239,Chicago/Greenleaf,65600,2016-08-08 18:13:20.621353
48,Intercampus (I),29727,29727,253,Ryan Field,65601,2016-08-08 18:13:21.253087
48,Intercampus (I),29729,29729,306,Ridge/Civic Center,65662,2016-08-08 18:14:22.227549
48,Intercampus (I),29974,29741,240,Chicago/Main,65713,2016-08-08 18:15:13.158261
